timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1721396752734,6,/d/msdownload/update/others/2024/07/41623389_0ce664ad658d60e35395a0d445c13a018ef3c2b4.cab-15,200,OK,,text,true,,7522,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623389_0ce664ad658d60e35395a0d445c13a018ef3c2b4.cab,6,0,3
1721396752760,11,/d/msdownload/update/others/2024/07/41623388_16daf1d36fdb43b1ab50789ef3702ec50cb9483e.cab-16,200,OK,,text,true,,7534,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623388_16daf1d36fdb43b1ab50789ef3702ec50cb9483e.cab,10,0,7
1721396752796,7,/d/msdownload/update/others/2024/07/41623387_fa73a642e65f16883ada0f92fe98baff55513200.cab-17,200,OK,,text,true,,7524,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623387_fa73a642e65f16883ada0f92fe98baff55513200.cab,7,0,3
1721396752812,11,/d/msdownload/update/others/2024/07/41623386_24a0907a4331e04d7f3677e600095b8e2e2fd260.cab-18,200,OK,,text,true,,7526,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623386_24a0907a4331e04d7f3677e600095b8e2e2fd260.cab,11,0,4
1721396752840,8,/d/msdownload/update/others/2024/07/41623369_23ee72a70f13654f1e68d594dfbf5d3f497d127b.cab-19,200,OK,,text,true,,7524,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623369_23ee72a70f13654f1e68d594dfbf5d3f497d127b.cab,8,0,4
1721396752859,15,/d/msdownload/update/others/2024/07/41623368_0515dc2b5f617f59df75069402d34d4503eb96c5.cab-20,200,OK,,text,true,,7528,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623368_0515dc2b5f617f59df75069402d34d4503eb96c5.cab,15,0,12
1721396752883,5,/d/msdownload/update/others/2024/07/41623367_9cb8e21fe36379c1153612ea41dcd0c1a5f88d00.cab-21,200,OK,,text,true,,7522,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623367_9cb8e21fe36379c1153612ea41dcd0c1a5f88d00.cab,5,0,2
1721396752908,7,/d/msdownload/update/others/2024/07/41623366_54d8c4185f85e49b9d39b192af56388791a974e5.cab-22,200,OK,,text,true,,7526,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623366_54d8c4185f85e49b9d39b192af56388791a974e5.cab,7,0,4
1721396752929,7,/d/msdownload/update/others/2024/07/41623365_fb7d711daff31c994cff8ded81f0653127e68478.cab-23,200,OK,,text,true,,7534,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623365_fb7d711daff31c994cff8ded81f0653127e68478.cab,6,0,3
1721396752961,13,/d/msdownload/update/others/2024/07/41623364_280c5ec773c3744468a6373d7e3737fb3c8fa2b0.cab-24,200,OK,,text,true,,7522,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623364_280c5ec773c3744468a6373d7e3737fb3c8fa2b0.cab,13,0,10
1721396752991,5,/d/msdownload/update/others/2024/07/41623363_bbf841dcf30ae540c744ea4ece2874ca13e31dca.cab-25,200,OK,,text,true,,7530,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623363_bbf841dcf30ae540c744ea4ece2874ca13e31dca.cab,5,0,2
1721396753029,11,/d/msdownload/update/others/2024/07/41623362_2287ab8c8840f67df445a9860974e2e5773e4c6a.cab-26,200,OK,,text,true,,7528,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623362_2287ab8c8840f67df445a9860974e2e5773e4c6a.cab,11,0,5
1721396753055,6,/d/msdownload/update/others/2024/07/41623361_df12ecd03cf0477a40db1ddc334d326863ed8331.cab-27,200,OK,,text,true,,7528,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623361_df12ecd03cf0477a40db1ddc334d326863ed8331.cab,6,0,3
1721396753072,6,/d/msdownload/update/others/2024/07/41623360_74dcddc8944a0ebafccb6a3127fe7aef34bbde9a.cab-28,200,OK,,text,true,,7526,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623360_74dcddc8944a0ebafccb6a3127fe7aef34bbde9a.cab,6,0,2
1721396753088,7,/d/msdownload/update/others/2024/07/41623359_0dc77bd4741cf9c52c237dbcbc9fdc205f070885.cab-29,200,OK,,text,true,,7524,244,0,0,http://download.windowsupdate.com/d/msdownload/update/others/2024/07/41623359_0dc77bd4741cf9c52c237dbcbc9fdc205f070885.cab,6,0,3
